Time: 28.2 s, Throughput: 7.7184 Mbps, cwnd: 21439 bytes 
Time: 28.3 s, Throughput: 8.27584 Mbps, cwnd: 23583 bytes 
Time: 28.4 s, Throughput: 9.0048 Mbps, cwnd: 26263 bytes 
Time: 28.5 s, Throughput: 9.09056 Mbps, cwnd: 28407 bytes 
Time: 28.6 s, Throughput: 9.04768 Mbps, cwnd: 30551 bytes 
Time: 28.7 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 28.8 s, Throughput: 9.09056 Mbps, cwnd: 34303 bytes 
Time: 28.9 s, Throughput: 8.70464 Mbps, cwnd: 19831 bytes 
Time: 29 s, Throughput: 7.67552 Mbps, cwnd: 21975 bytes 
Time: 29.1 s, Throughput: 8.61888 Mbps, cwnd: 24655 bytes 
Time: 29.2 s, Throughput: 9.04768 Mbps, cwnd: 26799 bytes 
Time: 29.3 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 29.4 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 29.5 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 29.6 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 29.7 s, Throughput: 8.31872 Mbps, cwnd: 20367 bytes 
Time: 29.8 s, Throughput: 7.88992 Mbps, cwnd: 22511 bytes 
Time: 29.9 s, Throughput: 8.74752 Mbps, cwnd: 25191 bytes 
Time: 30 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 30.1 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 30.2 s, Throughput: 9.09056 Mbps, cwnd: 31623 bytes 
Time: 30.3 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 30.4 s, Throughput: 7.46112 Mbps, cwnd: 34661 bytes 
Time: 30.5 s, Throughput: 9.60512 Mbps, cwnd: 20903 bytes 
Time: 30.6 s, Throughput: 8.10432 Mbps, cwnd: 23583 bytes 
Time: 30.7 s, Throughput: 8.87616 Mbps, cwnd: 25727 bytes 
Time: 30.8 s, Throughput: 9.09056 Mbps, cwnd: 28407 bytes 
Time: 30.9 s, Throughput: 9.09056 Mbps, cwnd: 30551 bytes 
Time: 31 s, Throughput: 9.09056 Mbps, cwnd: 32159 bytes 
Time: 31.1 s, Throughput: 9.09056 Mbps, cwnd: 34303 bytes 
Time: 31.2 s, Throughput: 9.09056 Mbps, cwnd: 18759 bytes 
Time: 31.3 s, Throughput: 7.46112 Mbps, cwnd: 21439 bytes 
Time: 31.4 s, Throughput: 8.49024 Mbps, cwnd: 24119 bytes 
Time: 31.5 s, Throughput: 9.0048 Mbps, cwnd: 26263 bytes 
Time: 31.6 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 31.7 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 31.8 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 31.9 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 32 s, Throughput: 8.66176 Mbps, cwnd: 19831 bytes 
Time: 32.1 s, Throughput: 7.67552 Mbps, cwnd: 22511 bytes 
Time: 32.2 s, Throughput: 8.61888 Mbps, cwnd: 24655 bytes 
Time: 32.3 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 32.4 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 32.5 s, Throughput: 9.09056 Mbps, cwnd: 31623 bytes 
Time: 32.6 s, Throughput: 9.04768 Mbps, cwnd: 33231 bytes 
Time: 32.7 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 32.8 s, Throughput: 8.10432 Mbps, cwnd: 20367 bytes 
Time: 32.9 s, Throughput: 8.1472 Mbps, cwnd: 23047 bytes 
Time: 33 s, Throughput: 8.74752 Mbps, cwnd: 25191 bytes 
Time: 33.1 s, Throughput: 9.09056 Mbps, cwnd: 27871 bytes 
Time: 33.2 s, Throughput: 9.09056 Mbps, cwnd: 30015 bytes 
Time: 33.3 s, Throughput: 9.04768 Mbps, cwnd: 32159 bytes 
Time: 33.4 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 33.5 s, Throughput: 6.6464 Mbps, cwnd: 34610 bytes 
Time: 33.6 s, Throughput: 10.1626 Mbps, cwnd: 20903 bytes 
Time: 33.7 s, Throughput: 8.27584 Mbps, cwnd: 23583 bytes 
Time: 33.8 s, Throughput: 9.0048 Mbps, cwnd: 26263 bytes 
Time: 33.9 s, Throughput: 9.04768 Mbps, cwnd: 28407 bytes 
Time: 34 s, Throughput: 9.09056 Mbps, cwnd: 30551 bytes 
Time: 34.1 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 34.2 s, Throughput: 9.09056 Mbps, cwnd: 34303 bytes 
Time: 34.3 s, Throughput: 9.09056 Mbps, cwnd: 19295 bytes 
Time: 34.4 s, Throughput: 7.46112 Mbps, cwnd: 21975 bytes 
Time: 34.5 s, Throughput: 8.44736 Mbps, cwnd: 24119 bytes 
Time: 34.6 s, Throughput: 9.04768 Mbps, cwnd: 26799 bytes 
Time: 34.7 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 34.8 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 34.9 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 35 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 35.1 s, Throughput: 8.31872 Mbps, cwnd: 19831 bytes 
Time: 35.2 s, Throughput: 8.06144 Mbps, cwnd: 22511 bytes 
Time: 35.3 s, Throughput: 8.576 Mbps, cwnd: 25191 bytes 
Time: 35.4 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 35.5 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 35.6 s, Throughput: 9.09056 Mbps, cwnd: 31623 bytes 
Time: 35.7 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 35.8 s, Throughput: 8.27584 Mbps, cwnd: 35375 bytes 
Time: 35.9 s, Throughput: 8.7904 Mbps, cwnd: 20903 bytes 
